product_title,Type,count_of_reviews,product_url,part_number,product_description,product_description,skuid,units_sold,product_attributes,product_reviews,product_warranty,sale_price,price_tier,search_term,category,revenue,market_share
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs252/20970248-P?searchTerm=sensors,Part # ABS252,[],"['', ""Direct-fit OE replacement effectively restores A/C and heater blower motor variable speed control\nHigh-quality ceramic with copper electrical connectors ensure accurate and precise resistance values for long life and high performance\nRobust design and high-grade materials meet the stringent demands of today's service professional""]",20970248,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,61.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs302/20970246-P?searchTerm=sensors,Part # ABS302,[],"['', 'Direct-fit OE replacement ensures ease of installation and proper fit, form, and function, resulting in correct measurements of pressure inside intake manifold\nUndergoes extensive design and manufacturing processes to ensure superior durability, longevity, and performance, even under extreme conditions\nOE-matching connectors and terminals ensure exact-fit connection to engine wire harness']",20970246,0,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,89.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs250/20970230-P?searchTerm=sensors,Part # ABS250,[],"['', ""Direct-fit OE replacement effectively restores A/C and heater blower motor variable speed control\nHigh-quality ceramic with copper electrical connectors ensure accurate and precise resistance values for long life and high performance\nRobust design and high-grade materials meet the stringent demands of today's service professional""]",20970230,1,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,69.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,69.99,0.014505158
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs285/20970215-P?searchTerm=sensors,Part # ABS285,[],"['', 'Direct-fit OE replacement effectively restores proper accelerator pedal sensor function\nDesigned to maintain specific installed outputs to match OE rather than adjustable consolidated designs\nUndergoes rigorous end-of-line testing with thousands of data points to validate output voltages for optimum performance and trouble-free operation']",20970215,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,49.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs283/20970204-P?searchTerm=sensors,Part # ABS283,[],"['', 'Direct-fit OE replacement effectively restores proper accelerator pedal sensor function\nDesigned to maintain specific installed outputs to match OE rather than adjustable consolidated designs\nUndergoes rigorous end-of-line testing with thousands of data points to validate output voltages for optimum performance and trouble-free operation']",20970204,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,106.99,101-200$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs281/20970198-P?searchTerm=sensors,Part # ABS281,[],"['', 'Direct-fit OE replacement effectively restores engine horsepower and torque curves while reducing emissions and improving vehicle efficiency\nAnodized steel componentry limit sticking during sludge buildup to outlast any other aftermarket solenoid available\nOE-match sprocket engineering ensures stable VVT system operation, resulting in less correction from the powertrain control module to maintain the commanded camshaft angle\nPremium O-rings and gaskets properly prevent premature oil leaks, where applicable\nUndergoes extensive design process and 100% end-of-line testing to meet or exceed OE performance']",20970198,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,64.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs290/20970196-P?searchTerm=sensors,Part # ABS290,[],"['', 'Designed to OE standards for ease of installation']",20970196,0,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,41.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs231/20970195-P?searchTerm=sensors,Part # ABS231,[],"['', 'Direct-fit OE replacement accurately detects proper evaporative leaks with the utilization of engine vacuum.\nPrecision-calibrated diaphragm and spring properly open and close to provide accurate voltage readings to the switch.\nHigh-temperature OE-style plastic housing ensures precise fit and performance under hazardous conditions.\nOE-quality connector and terminals ensure exact fit, resulting in peak conductivity to the engine wiring harness and precise engine performance.']",20970195,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,64.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs242/20970191-P?searchTerm=sensors,Part # ABS242,[],"['', 'Direct-fit OE replacement effectively prevents unused fuel vapors in the fuel tank from escaping into the atmosphere\nHigh-grade industrial plastic withstands low and high engine temperatures\nPrecision-machined mounting sleeve ensures trouble-free install\nOE-match connectors and terminals ensure perfect fit to the engine wire harness, resulting in peak conductivity for optimal performance']",20970191,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,37.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs215/20970189-P?searchTerm=sensors,Part # ABS215,[],"['', 'Designed to respond to knock frequencies of up to 1000 Hz, which allows sensor to correct engine knock across an array of vehicle conditions\nAutomated data acquisition system continuously monitors sensor output to ensure response with appropriate voltage at specified frequency range\nUndergoes 100% accelerometer vibration testing to ensure durability and performance under harsh conditions']",20970189,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,99.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs295/20970178-P?searchTerm=sensors,Part # ABS295,[],"['', 'Direct-fit OE replacement ensures ease of installation and proper fit, form, and function, resulting in correct measurements of pressure\nUndergoes extensive design and manufacturing processes to ensure superior durability, longevity, and performance, even under extreme conditions\nOE-matching connectors and terminals ensure exact-fit connection to engine wire harness']",20970178,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,76.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs275/20970157-P?searchTerm=sensors,Part # ABS275,[],"['', 'Direct-fit OE replacement effectively restores engine horsepower and torque curves while reducing emissions and improving vehicle efficiency\nAnodized steel componentry limit sticking during sludge buildup to outlast any other aftermarket solenoid available\nOE-match sprocket engineering ensures stable VVT system operation, resulting in less correction from the powertrain control module to maintain the commanded camshaft angle\nPremium O-rings and gaskets properly prevent premature oil leaks, where applicable\nUndergoes extensive design process and 100% end-of-line testing to meet or exceed OE performance']",20970157,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,56.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs226/20970153-P?searchTerm=sensors,Part # ABS226,[],"['', 'Direct-fit OE replacement accurately detects proper evaporative leaks with the utilization of engine vacuum\nPrecision-calibrated diaphragm and spring properly open and close to provide accurate voltage readings to the switch\nOE-quality connector and terminals ensure exact fit, resulting in peak conductivity to the engine wiring harness and precise engine performance\nHigh-temperature OE-style plastic housing ensures precise fit and performance under hazardous conditions']",20970153,0,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,83.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs232/20970141-P?searchTerm=sensors,Part # ABS232,[],"['', 'Designed to OE standards for ease of installation']",20970141,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,39.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs218/20970136-P?searchTerm=sensors,Part # ABS218,[],"['', 'Direct-fit OE replacement effectively prevents unused fuel vapors in the fuel tank from escaping into the atmosphere\nHigh-grade industrial plastic withstands low and high engine temperatures\nOE-match connectors and terminals ensure perfect fit to the engine wire harness, resulting in peak conductivity for optimal performance']",20970136,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,98.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs160/20970129-P?searchTerm=sensors,Part # ABS160,[],"['', ""Copper alloy conductors ensure superior electrical conductivity with low resistive losses\nOur parts are 100% tested to verify both mechanical and electrical switching performance.\nRobust design and high grade materials meet the stringent demands of today's service professional""]",20970129,0,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,80.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs227/20970127-P?searchTerm=sensors,Part # ABS227,[],"['', 'Direct-fit OE replacement accurately detects proper evaporative leaks with the utilization of engine vacuum\nPrecision-calibrated diaphragm and spring properly open and close to provide accurate voltage readings to the switch\nOE-quality connector and terminals ensure exact fit, resulting in peak conductivity to the engine wiring harness and precise engine performance\nHigh-temperature OE-style plastic housing ensures precise fit and performance under hazardous conditions']",20970127,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,30.49,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
