title,Type,count_of_reviews,product_url,part_number,product_description,product_description1,product_title,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,1 Review,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-006/22149435-P?searchTerm=sensors,Part # 970-006,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(1 reviews),LIMITED LIFETIME REPLACEMENT,$59.99,22149435,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,59.99,51-100$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,1 Review,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-005/22149434-P?searchTerm=sensors,Part # 970-005,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(1 reviews),LIMITED LIFETIME REPLACEMENT,$50.99,22149434,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,50.99,51-100$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-062/22149428-P?searchTerm=sensors,Part # 970-062,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,$31.99,22149428,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,31.99,0-50$,0.0,0.0
dorman - oe solutions anti-lock braking system wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-braking-system-wheel-speed-sensor-970-026/22149421-P?searchTerm=sensors,Part # 970-026,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Braking System Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$37.99,22149421,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,37.99,0-50$,0.0,0.0
dorman - oe solutions anti-lock brake sensor,brake sensor,1 Review,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-970-037/22149420-P?searchTerm=sensors,Part # 970-037,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,$48.49,22149420,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,,48.49,0-50$,,
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,1 Review,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-027/22149419-P?searchTerm=sensors,Part # 970-027,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(1 reviews),LIMITED LIFETIME REPLACEMENT,$22.99,22149419,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,,22.99,0-50$,,
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-032/22149415-P?searchTerm=sensors,Part # 970-032,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,$114.99,22149415,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,,114.99,101-200$,,
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-030/22149413-P?searchTerm=sensors,Part # 970-030,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,$31.49,22149413,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,31.49,0-50$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-029/22149412-P?searchTerm=sensors,Part # 970-029,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,$33.49,22149412,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,,33.49,0-50$,,
dorman - oe solutions anti-lock brake sensor,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-970-001/22149411-P?searchTerm=sensors,Part # 970-001,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$47.49,22149411,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,47.49,0-50$,0.0,0.0
dorman - oe solutions anti-lock brake sensor,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-970-038/22149410-P?searchTerm=sensors,Part # 970-038,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$44.49,22149410,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,44.49,0-50$,0.0,0.0
dorman - oe solutions anti-lock brake sensor,brake sensor,2 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-970-002/22149367-P?searchTerm=sensors,Part # 970-002,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor,(2 reviews),LIMITED LIFETIME REPLACEMENT,$61.99,22149367,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,61.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs107/20972371-P?searchTerm=sensors,Part # ABS107,[],"['', 'Caps are made of high dielectric strength up to 800 volts per mil and glass/mineral reinforced polyester resin for less carbon tracking, greater resistance to electrical breakdown and superior performance\nCaps have solid brass terminals for better conductivity and greater resistance to electrical pitting and erosion for a longer service life']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$67.99,20972371,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,67.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs106/20972369-P?searchTerm=sensors,Part # ABS106,[],"['', 'Caps are made of high dielectric strength up to 800 volts per mil and glass/mineral reinforced polyester resin for less carbon tracking, greater resistance to electrical breakdown and superior performance\nCaps have solid brass terminals for better conductivity and greater resistance to electrical pitting and erosion for a longer service life']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$61.99,20972369,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,61.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs307/20972368-P?searchTerm=sensors,Part # ABS307,[],"['', ""Direct-fit OE replacement ensures ease of installation and proper fit, form, function for this important safety category\nCopper alloy conductors ensure superior electrical conductivity with low resistive losses\nRobust design and high-grade material meet the stringent demands of today's service professional""]",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$89.99,20972368,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,89.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs216/20972367-P?searchTerm=sensors,Part # ABS216,[],"['', 'Direct-fit OE replacement effectively prevents unused fuel vapors in the fuel tank from escaping into the atmosphere\nHigh-grade industrial plastic withstands low and high engine temperatures\nOE-match connectors and terminals ensure perfect fit to the engine wire harness, resulting in peak conductivity for optimal performance']",Carquest,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,$38.99,20972367,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,38.99,0-50$,0.0,0.0
carquest vehicle speed sensor,Speed sensor,7 Reviews,https://shop.advanceautoparts.com/p/carquest-vehicle-speed-sensor-s8365/20971597-P?searchTerm=sensors,Part # S8365,[],"['', 'Designed to OE standards for ease of installation']",Carquest,Vehicle Speed Sensor,(7 reviews),LIMITED LIFETIME REPLACEMENT,$35.99,20971597,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,35.99,0-50$,0.0,0.0
carquest vehicle speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-vehicle-speed-sensor-sn7107/20971589-P?searchTerm=sensors,Part # SN7107,[],"['', 'Designed to OE standards for ease of installation']",Carquest,Vehicle Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$57.99,20971589,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,57.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs303/20970260-P?searchTerm=sensors,Part # ABS303,[],"['', 'Direct-fit OE replacement ensures ease of installation and proper fit, form, and function, resulting in correct measurements of pressure inside intake manifold\nUndergoes extensive design and manufacturing processes to ensure superior durability, longevity, and performance, even under extreme conditions\nOE-matching connectors and terminals ensure exact-fit connection to engine wire harness']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$79.99,20970260,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,79.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs252/20970248-P?searchTerm=sensors,Part # ABS252,[],"['', ""Direct-fit OE replacement effectively restores A/C and heater blower motor variable speed control\nHigh-quality ceramic with copper electrical connectors ensure accurate and precise resistance values for long life and high performance\nRobust design and high-grade materials meet the stringent demands of today's service professional""]",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$61.99,20970248,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,61.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs302/20970246-P?searchTerm=sensors,Part # ABS302,[],"['', 'Direct-fit OE replacement ensures ease of installation and proper fit, form, and function, resulting in correct measurements of pressure inside intake manifold\nUndergoes extensive design and manufacturing processes to ensure superior durability, longevity, and performance, even under extreme conditions\nOE-matching connectors and terminals ensure exact-fit connection to engine wire harness']",Carquest,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,$89.99,20970246,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,89.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs250/20970230-P?searchTerm=sensors,Part # ABS250,[],"['', ""Direct-fit OE replacement effectively restores A/C and heater blower motor variable speed control\nHigh-quality ceramic with copper electrical connectors ensure accurate and precise resistance values for long life and high performance\nRobust design and high-grade materials meet the stringent demands of today's service professional""]",Carquest,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,$69.99,20970230,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,69.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs285/20970215-P?searchTerm=sensors,Part # ABS285,[],"['', 'Direct-fit OE replacement effectively restores proper accelerator pedal sensor function\nDesigned to maintain specific installed outputs to match OE rather than adjustable consolidated designs\nUndergoes rigorous end-of-line testing with thousands of data points to validate output voltages for optimum performance and trouble-free operation']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$49.99,20970215,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,49.99,0-50$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs283/20970204-P?searchTerm=sensors,Part # ABS283,[],"['', 'Direct-fit OE replacement effectively restores proper accelerator pedal sensor function\nDesigned to maintain specific installed outputs to match OE rather than adjustable consolidated designs\nUndergoes rigorous end-of-line testing with thousands of data points to validate output voltages for optimum performance and trouble-free operation']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$106.99,20970204,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,106.99,101-200$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs281/20970198-P?searchTerm=sensors,Part # ABS281,[],"['', 'Direct-fit OE replacement effectively restores engine horsepower and torque curves while reducing emissions and improving vehicle efficiency\nAnodized steel componentry limit sticking during sludge buildup to outlast any other aftermarket solenoid available\nOE-match sprocket engineering ensures stable VVT system operation, resulting in less correction from the powertrain control module to maintain the commanded camshaft angle\nPremium O-rings and gaskets properly prevent premature oil leaks, where applicable\nUndergoes extensive design process and 100% end-of-line testing to meet or exceed OE performance']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$64.99,20970198,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,64.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs290/20970196-P?searchTerm=sensors,Part # ABS290,[],"['', 'Designed to OE standards for ease of installation']",Carquest,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,$41.99,20970196,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,41.99,0-50$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs231/20970195-P?searchTerm=sensors,Part # ABS231,[],"['', 'Direct-fit OE replacement accurately detects proper evaporative leaks with the utilization of engine vacuum.\nPrecision-calibrated diaphragm and spring properly open and close to provide accurate voltage readings to the switch.\nHigh-temperature OE-style plastic housing ensures precise fit and performance under hazardous conditions.\nOE-quality connector and terminals ensure exact fit, resulting in peak conductivity to the engine wiring harness and precise engine performance.']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$64.99,20970195,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,64.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs242/20970191-P?searchTerm=sensors,Part # ABS242,[],"['', 'Direct-fit OE replacement effectively prevents unused fuel vapors in the fuel tank from escaping into the atmosphere\nHigh-grade industrial plastic withstands low and high engine temperatures\nPrecision-machined mounting sleeve ensures trouble-free install\nOE-match connectors and terminals ensure perfect fit to the engine wire harness, resulting in peak conductivity for optimal performance']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$37.99,20970191,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,37.99,0-50$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs215/20970189-P?searchTerm=sensors,Part # ABS215,[],"['', 'Designed to respond to knock frequencies of up to 1000 Hz, which allows sensor to correct engine knock across an array of vehicle conditions\nAutomated data acquisition system continuously monitors sensor output to ensure response with appropriate voltage at specified frequency range\nUndergoes 100% accelerometer vibration testing to ensure durability and performance under harsh conditions']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$99.99,20970189,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,99.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs295/20970178-P?searchTerm=sensors,Part # ABS295,[],"['', 'Direct-fit OE replacement ensures ease of installation and proper fit, form, and function, resulting in correct measurements of pressure\nUndergoes extensive design and manufacturing processes to ensure superior durability, longevity, and performance, even under extreme conditions\nOE-matching connectors and terminals ensure exact-fit connection to engine wire harness']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$76.99,20970178,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,76.99,51-100$,0.0,0.0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs275/20970157-P?searchTerm=sensors,Part # ABS275,[],"['', 'Direct-fit OE replacement effectively restores engine horsepower and torque curves while reducing emissions and improving vehicle efficiency\nAnodized steel componentry limit sticking during sludge buildup to outlast any other aftermarket solenoid available\nOE-match sprocket engineering ensures stable VVT system operation, resulting in less correction from the powertrain control module to maintain the commanded camshaft angle\nPremium O-rings and gaskets properly prevent premature oil leaks, where applicable\nUndergoes extensive design process and 100% end-of-line testing to meet or exceed OE performance']",Carquest,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,$56.99,20970157,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,56.99,51-100$,0.0,0.0
