title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newyall pack of 4 front and rear left driver and right passenger side abs wheel speed sensor,https://www.amazon.com/NewYall-Front-Driver-Passenger-Sensor/dp/B082LZWLJH/ref=sr_1_14?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-14,B082LZWLJH,NewYall,sensors,38.99,0-50$,79,3080,0.180425687,,,0.65625,0-1pound,5.71 x 4.72 x 3.62 inches,51-100sq.inch,,Speed sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxygen o2 sensor downstream 234-4797 for honda accord 2.4l 2003 2004 2005 2006 2007,https://www.amazon.com/Oxygen-Sensor-Downstream-234-4797-Accord/dp/B07YYXQNKJ/ref=sr_1_15?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-15,,SFY,sensors,23.99,0-50$,100,2399,0.140532865,,,,,5.71 x 3.54 x 2.56 inches,51-100sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scitoo o2 oxygen sensor upstream downstream sg336 sg1861 fit for acura cl mdx tl for honda for accord civic odyssey pilot prelude for isuzu oasis 2pcs,https://www.amazon.com/SCITOO-Oxygen-Upstream-Downstream-2000-2003/dp/B074319N57/ref=sr_1_17?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-17,B074319N57,SCITOO,sensors,45.69,0-50$,63,2878,0.168592574,,SG336 SG1861,0.33125,0-1pound,7.09 x 3.15 x 1.97 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocpty o2 oxygen sensor upstream bank 1 sensor 1 front rear 234-5010 fit for acura mdx rl tl honda accord odyssey pilot ridgeline saturn vue 3.2l 3.5l,https://www.amazon.com/OCPTY-2005-2008-2004-2008-2005-2006-Odyssey/dp/B07XCVRMBP/ref=sr_1_18?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-18,B07XCVRMBP,OCPTY,sensors,49.79,0-50$,60,2987,0.174977769,,,0.275,0-1pound,,,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass air flow sensor meter maf 22680-7s000 af10141 compatible for nissan altima infiniti g37 suzuki 07-13 sentra 05-15 xterra 03-09 350z 3.5l 09-15 370z 3.7l 03-15 murano 3.5l 05-08 g35 3.5l,https://www.amazon.com/Sensor-22680-7S000-22680-CA000-Nissan-Infiniti/dp/B07PGMMZ5F/ref=sr_1_19?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-19,B07PGMMZ5F,Ameetaa,sensors,21.98,0-50$,409,8990,0.52663212,,"226807S00A, 22680-CA000, 22680-7S000, MF21058N, 336-60644,74-500036, 86-50036, AF10141, AFH70M-38, AFH70M38, 33660644, 226807S000, 22680CA000, 74500036, 8650036",0.13,0-1pound,4.37 x 2.83 x 2.01 inches,1-50sq.inch,,Air flow sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acdelco professional 213-4514 engine coolant temperature sensor,https://www.amazon.com/ACDelco-213-4514-Professional-Coolant-Temperature/dp/B001W0FSMM/ref=sr_1_20?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-20,B001W0FSMM,ACDelco,sensors,12.61,0-50$,977,12320,0.72170275,19236568,19236568,0.039625,0-1pound,3.6 x 2.2 x 1.7 inches,1-50sq.inch,China,Temperature sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4pcs oxygen o2 sensor for 2003 2004 2005 chevrolet chevy suburban1500 silverado1500 escalade tahoe sierra1500 yukonxl1500 5.3l upstream + downstream,https://www.amazon.com/Suburban-1500-Silverado-1500-Sierra-1500-Yukon-XL-1500-Downstream/dp/B07YDN4XKW/ref=sr_1_23?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-23,B07YDN4XKW,higherbro,sensors,56.99,51-100$,68,3875,0.226996604,,,1.02,1.1-2pound,5.99 x 4.41 x 2.21 inches,51-100sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso-234-4368 oxygen sensor black,https://www.amazon.com/Denso-234-4368-Oxygen-Sensor-Ratio/dp/B001CHD3IG/ref=sr_1_24?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-24,B001CHD3IG,Denso,sensors,38.78,0-50$,94,3645,0.213523257,OXYGEN SENSOR,,0.25,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax oxygen sensor 250-54003 fit for camry avalon rav4 sienna es300 solara o2 sensor replacement,https://www.amazon.com/KAX-234-9021-Equipment-Replacement-250-54003/dp/B084P9DZYL/ref=sr_1_25?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-25,B084P9DZYL,KAX,sensors,39.99,0-50$,30,1200,0.070295722,,,0.36875,0-1pound,6 x 2.3 x 1.8 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax 234-4668 oxygen sensor original equipment replacement 250-24470 heated o2 sensor 1pcs,https://www.amazon.com/KAX-Equipment-Replacement-250-24470-Downstream/dp/B084NSZC37/ref=sr_1_26?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-26,B084NSZC37,KAX,sensors,18.99,0-50$,56,1063,0.062270294,,,0.3,0-1pound,6.1 x 2.3 x 2.2 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mostplus 234-4587 o2 oxygen sensor compatible with dodge dakota durango ram jeep grand cherokee mitsubishi raider (set of 2),https://www.amazon.com/MOSTPLUS-2PCSHigh-Performance-Chrysler-Mitsubishi/dp/B07Q4S2738/ref=sr_1_27?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-27,B07Q4S2738,MOSTPLUS,sensors,25.99,0-50$,274,7121,0.417146533,,"05149171AA, 68144248AA, 56041698AA, 2344587, 5S7084, 25024253, SG1849, 23159",0.4375,0-1pound,5.87 x 4.61 x 1.77 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4260 oxygen sensor,https://www.amazon.com/Denso-234-4260-Oxygen-Sensor/dp/B00199FBQY/ref=sr_1_30?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-30,B00199FBQY,Denso,sensors,42.78,0-50$,203,8684,0.508706711,"LX 470,LX 470,Camry,Camry,Camry,Camry,Camry,Camry,4Runner,4Runner,4Runner,4Runner,Tundra,Tundra,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,Sequoia,Sequoia,Solara,Solara,Land Cruiser,Land Cruiser,FJ Cruiser,FJ Cruiser,LX 470,Tundra,Tundra,Sequoia,Land Cruiser*:*37",,0.24,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4018 oxygen sensor,https://www.amazon.com/Denso-234-4018-Oxygen-Sensor/dp/B000C5WCOA/ref=sr_1_27?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-27,B000C5WCOA,Denso,sensors,24.78,0-50$,101,2503,0.146625161,OXYGEN SENSOR,234-4018,0.2625,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
downstream oxygen sensor replacement for toyota prius 2004-2009 sienna celica lexus gs400 gs430 ls600h ls460 gs400,https://www.amazon.com/Downstream-Oxygen-Sensor-Toyota-2004-2009/dp/B07DQBG6JT/ref=sr_1_28?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-28,B07DQBG6JT,YHTAUTO,sensors,35.79,0-50$,73,2613,0.153068936,,"89465-08010 , 89465-20510",0.3375,0-1pound,6 x 2.4 x 2.2 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autopart t st-25005 oxygen sensorupstream for 2000-12 altima sentra titan xterra pathfinder 2004-10 infiniti fx35 g35 m35 qx56 2004-06 cadillac cts srx for outback 2000-02fit 234-5060,https://www.amazon.com/Autopart-ST-25005-Upstream-Pathfinder-Infiniti/dp/B07J2Z5S54/ref=sr_1_29?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-29,B07J2Z5S54,Autopart T,sensors,39.99,0-50$,56,2239,0.131160102,,"234-5060, 24320, 250-25005, 350-35009",0.4,0-1pound,6 x 2.2 x 2.2 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax 250-24785 oxygen sensor original equipment replacement 250-24785 heated o2 sensor sensor 2 downstream 1pcs,https://www.amazon.com/KAX-250-24785-Equipment-Replacement-Downstream/dp/B087NGGYHD/ref=sr_1_30?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-30,B087NGGYHD,KAX,sensors,29.99,0-50$,75,2249,0.1317459,,,0.3,0-1pound,5.91 x 2.17 x 2.17 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4048 oxygen sensor,https://www.amazon.com/Denso-234-4048-Oxygen-Sensor/dp/B000C5SG1I/ref=sr_1_31?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-31,B000C5SG1I,Denso,sensors,52.88,51-100$,56,2961,0.173454695,OXYGEN SENSOR,234-4048,0.25,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax 234-9038 oxygen sensor 250-54037 heated o2 sensor upstream sensor 1 original equipment replacement 1pc compatible with 2008-2012 armada/2007-2012 pathfinder/2008-2012 titan,https://www.amazon.com/KAX-234-9038-250-54037-Equipment-Replacement/dp/B08D3JSNLM/ref=sr_1_32?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-32,B08D3JSNLM,KAX,sensors,49.99,0-50$,57,2849,0.166893761,,234-9038 250-54037,0.149375,0-1pound,9.8 x 2.1 x 1.6 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4169 oxygen sensor,https://www.amazon.com/Denso-234-4169-Oxygen-Sensor/dp/B000C5SG54/ref=sr_1_33?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-33,B000C5SG54,Denso,sensors,42.59,0-50$,123,5239,0.306899408,OXYGEN SENSOR,234-4169,0.1,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mostplus sg336 sg1860 2pcs oxygen o2 sensor upstream & downstream compatible with honda odyssey 3.5l 1999-2004,https://www.amazon.com/MOSTPLUS-Upstream-Downstream-Odyssey-1999-2004/dp/B07YWTPHX4/ref=sr_1_34?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-34,B07YWTPHX4,MOSTPLUS,sensors,29.99,0-50$,51,1529,0.089568466,,"234-4099, 36531P06A1, 36531-P06-A11, 36531-P06-A12, 36531-P2R-A01, 234000-2311, SG336, 234-4620, SG1860, SG918, 15390, SG338, OX024, OS5271, OS5268",0.5,0-1pound,6.77 x 3.9 x 1.89 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax oxygen sensor 250-24360 fit for camry corolla rav4 es300h matrix tacoma o2 sensor replacement,https://www.amazon.com/KAX-Equipment-Replacement-250-24360-Downstream/dp/B084P7RFRW/ref=sr_1_35?dchild=1&keywords=sensor&qid=1633486965&s=automotive&sr=1-35,B084P7RFRW,KAX,sensors,19.99,0-50$,184,3678,0.215456389,,234-9052 250-54006 234-9056,0.3,0-1pound,6.38 x 2.36 x 2.2 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
