title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,blade_type,size,blade_size_tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 810162 latitude water repellency 24' and 20' windshield wiper blade 2 pack,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084CVBJD4/ref=sr_1_15?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-15&ts_id=15734861,B084CVBJD4,Rain-X,wiper blades,31.99,0-50$,14635,468174,3.31658889511502,"Rain-X Latitude Water Repellency Wiper Blade Combo Pack 24"" and 20""",,1.45,1.1-2pound,26.5 x 6.38 x 1.25 inches,2011-500sq.inch,,,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 810164 latitude water repellency 24' and 18' windshield wiper blade 2 pack,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084D2RHTL/ref=sr_1_16?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-16&ts_id=15734861,B084D2RHTL,Rain-X,wiper blades,31.51,0-50$,14701,463229,3.28155804742518,"Rain-X Latitude Water Repellency Wiper Blade Combo Pack 24"" and 18""",,1.15,1.1-2pound,26.5 x 6.38 x 1.25 inches,2011-500sq.inch,,,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 810195 latitude water repellency wiper blade combo pack 26' and 17',https://www.amazon.com/Rain-X-810195-Latitude-Water-Repellency/dp/B09CZFL1MJ/ref=sr_1_18?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-18&ts_id=15734861,B09CZFL1MJ,Rain-X,wiper blades,31.99,0-50$,11676,373515,2.64601558642489,"Rain-X 810195 Latitude Water Repellancy Wiper Blade Combo Pack 26"" and 17""",,0.95,0-1pound,30.5 x 6.38 x 1.25 inches,2011-500sq.inch,"Korea, Republic of",,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079275-2 latitude 2-in-1 water repellency wiper blade 18' (pack of 1),https://www.amazon.com/Rain-X-5079275-2-Latitude-Water-Repellency/dp/B015JTJNQI/ref=sr_1_19?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-19&ts_id=15734861,B015JTJNQI,Rain-X,wiper blades,15.27,0-50$,25838,394546,2.79500117950175,5079275-2,,0.3,0-1pound,1.1 x 2.6 x 18 inches,51-100sq.inch,,,18',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079283-2 latitude 2-in-1 water repellency wiper blade 17' (pack of 1),https://www.amazon.com/Rain-X-5079283-2-Latitude-Water-Repellency/dp/B015JTJMU0/ref=sr_1_20?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-20&ts_id=15734861,B015JTJMU0,Rain-X,wiper blades,15.27,0-50$,10006,152792,1.08239297881218,5079283-2,,0.002375,0-1pound,1.1 x 2.6 x 17 inches,1-50sq.inch,,,17',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079278-2 latitude 2-in-1 water repellency wiper blade 21' (pack of 1),https://www.amazon.com/Rain-X-5079278-2-Latitude-Water-Repellency/dp/B015JTJQTM/ref=sr_1_21?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-21&ts_id=15734861,B015JTJQTM,Rain-X,wiper blades,15.27,0-50$,10866,165924,1.17542130881481,5079278-2,,0.0026875,0-1pound,1.1 x 2.6 x 21 inches,51-100sq.inch,USA,,21',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079272-2 latitude 2-in-1 water repellency wiper blade 14' (pack of 1),https://www.amazon.com/Rain-X-5079272-2-Latitude-Water-Repellency/dp/B015JTJLE2/ref=sr_1_23?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-23&ts_id=15734861,B015JTJLE2,Rain-X,wiper blades,14.51,0-50$,9877,143315,1.01525701449335,5079272-2,,0.22,0-1pound,1.1 x 2.6 x 14 inches,1-50sq.inch,,,14',10-15inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch wiper blade aerotwin a863s length: 650mm/450mm  set of front wiper blades,https://www.amazon.com/BOSCH-AeroTwin-Front-Wiper-Blades/dp/B00FZWPO5Y/ref=sr_1_24?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-24&ts_id=15734861,B00FZWPO5Y,BOSCH,wiper blades,32.4,0-50$,192,6221,0.04407015237179,,"SWF:119 272,VALEO:VM387,VALEO:574707,VALEO:VF387",0.044,0-1pound,25.59 x 1.57 x 1.97 inches,51-100sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x rx30214 weatherbeater wiper blade - 14-inches - (pack of 1),https://www.amazon.com/Rain-X-RX30214-Weatherbeater-Wiper-Blade/dp/B000XTHUHE/ref=sr_1_25?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-25&ts_id=15734861,B000XTHUHE,Rain-X,wiper blades,9.04,0-50$,9173,82924,0.587441458813428,,RX30214,0.2625,0-1pound,18.19 x 2.2 x 0.75 inches,1-50sq.inch,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windshield wipers 26' + 18' premium all-season windshield wiper blades (set of 2) oem quality,https://www.amazon.com/Windshield-Wipers-Premium-All-Season-QUALITY/dp/B097T6T1KF/ref=sr_1_26?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-26&ts_id=15734861,B097T6T1KF,ZIXMMO,wiper blades,9.99,0-50$,2835,28322,0.200635726647459,,"Bosch ICON Beam, Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",0.8375,0-1pound,17.76 x 13.86 x 1.06 inches,2011-500sq.inch,,all-season,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch aerotwin 3397007297 original equipment replacement wiper blade - 24'/20' (set of 2),https://www.amazon.com/Bosch-Aerotwin-3397007297-Equipment-Replacement/dp/B0039234WM/ref=sr_1_27?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-27&ts_id=15734861,B0039234WM,BOSCH,wiper blades,28.39,0-50$,978,27765,0.19668988596733,"Macan,Macan,Macan,Macan,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,S4,S4,S4,S4,S4,S4,S4,S4,S4,S4,Allroad,Allroad,Allroad,Allroad,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q5,A7,A7,A7,A7,A7,A7,RS5,RS5,RS5,RS5,RS5,RS5,S7,S7,S7,SQ5,SQ5,SQ5,SQ5,SQ5,SQ5,RS7,RS7,XC90,XC90,XC90,XC90,S90,S90,S90,V90,V90,V90,V90,V90,XC40*:*153","SWF:119 297,VALEO:574462,VALEO:VM362,VALEO:VF362,DENSO:DF-007",0.044,0-1pound,1.97 x 1.57 x 26.77 inches,51-100sq.inch,Belgium,,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch icon 24a wiper blade up to 40% longer life - 24' (pack of 1),https://www.amazon.com/Bosch-24A-Wiper-Blade-Longer/dp/B005JU5VUK/ref=sr_1_28?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-28&ts_id=15734861,B005JU5VUK,BOSCH,wiper blades,22.95,0-50$,875,20081,0.142255703227443,"Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic,Civic*:*41",24A,0.55,0-1pound,28.7 x 2.6 x 1.1 inches,51-100sq.inch,,,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico platinum 24 inch & 22 inch pack of 2 high performance automotive replacement windshield wiper blades for my car (25-2422),https://www.amazon.com/TRICO-Black-Performance-Premium-Blades/dp/B0843CYX5H/ref=sr_1_29?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-29&ts_id=15734861,B0843CYX5H,Trico,wiper blades,35.9,0-50$,150,5385,0.038147849304307,TRICO Platinum,,1.3,1.1-2pound,24.5 x 6 x 1.25 inches,101-200sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x - 810169 latitude water repellency wiper blade 19' - 2 pack,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084D34KNZ/ref=sr_1_30?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-30&ts_id=15734861,B084D34KNZ,Rain-X,wiper blades,31.99,0-50$,25499,815713,5.77858804077321,"Rain-X Latitude Water Repellency Wiper Blade, 19"" - 2 Pack",,1.15,1.1-2pound,22.5 x 6.38 x 1.25 inches,101-200sq.inch,,,19',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico gold 24 & 19 inch pack of 2 automotive replacement windshield wiper blades for my car (18-2419),https://www.amazon.com/TRICO-Gold-Weather-Wiper-Blades/dp/B0843CWLT8/ref=sr_1_27?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-27&ts_id=15734861,B0843CWLT8,Trico,wiper blades,25.79,0-50$,351,9052,0.064125224123042,TRICO Gold,,0.85,0-1pound,24.5 x 6 x 1.25 inches,101-200sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 810160 latitude water repellency 24' and 19' windshield wiper blade 2 pack,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084CTGDKQ/ref=sr_1_28?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-28&ts_id=15734861,B084CTGDKQ,Rain-X,wiper blades,31.99,0-50$,14571,466126,3.3020806694186,"Rain-X Latitude Water Repellency Wiper Blade Combo Pack 24"" and 19""",,1.22,1.1-2pound,26.5 x 6.38 x 1.25 inches,2011-500sq.inch,,,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aero avenger 26'+20' premium all-season windshield wiper blades oem replacement for subaru ascent 2021-2019 (set of 2),https://www.amazon.com/AERO-All-Season-Windshield-Replacement-2021-2019/dp/B09128DQ37/ref=sr_1_29?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-29&ts_id=15734861,B09128DQ37,AERO,wiper blades,23.99,0-50$,270,6477,0.045883680583843,,"SOA591B720, SOA591B726",0.9375,0-1pound,26 x 2 x 2 inches,101-200sq.inch,,all-season,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michelin 3713 rainforce all weather performance windshield wiper blade 13' (pack of 1),https://www.amazon.com/Michelin-3713-RainForce-Performance-Windshield/dp/B003GW38MQ/ref=sr_1_30?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-30&ts_id=15734861,B003GW38MQ,MICHELIN,wiper blades,12.67,0-50$,3800,48146,0.341070817568271,,,0.9,0-1pound,13 x 2.38 x 0.75 inches,1-50sq.inch,China,,13',10-15inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x - 810168 latitude water repellency wiper blade 28 - 2 pack,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084D64RXJ/ref=sr_1_31?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-31&ts_id=15734861,B084D64RXJ,Rain-X,wiper blades,31.99,0-50$,25576,818176,5.79603616571964,"Rain-X Latitude Water Repellency Wiper Blade, 28 - 2 Pack",,1.4,1.1-2pound,30.5 x 6.38 x 1.25 inches,2011-500sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x - 810166 latitude water repellency wiper blade 20 - 2 pack,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084D5D6H3/ref=sr_1_32?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-32&ts_id=15734861,B084D5D6H3,Rain-X,wiper blades,31.99,0-50$,25585,818464,5.7980763849582,"Rain-X Latitude Water Repellency Wiper Blade, 20 - 2 Pack",,1.05,1.1-2pound,26.5 x 6.38 x 1.25 inches,2011-500sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piaa 95050 super silicone wiper blade - 20' 500mm (pack of 1)',https://www.amazon.com/95050-Super-Silicone-Wiper-Blade/dp/B0002Z9QY4/ref=sr_1_33?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-33&ts_id=15734861,B0002Z9QY4,Piaa,wiper blades,24.93,0-50$,1092,27224,0.192857390800453,95050,95050,0.4375,0-1pound,,,Japan,,20',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 830116 silicone endura 16-inch wiper blade,https://www.amazon.com/Rain-X-830116-Silicone-Endura-16-Inch/dp/B0856VRV96/ref=sr_1_34?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-34&ts_id=15734861,B0856VRV96,Rain-X,wiper blades,23.52,0-50$,4864,114401,0.810427503855518,Rain-X 830116 Silicone Endura 16-Inch Wiper Blade,,0.35,0-1pound,16 x 2.56 x 1.18 inches,1-50sq.inch,"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch icon 26a wiper blade up to 40% longer life - 26' (pack of 1),https://www.amazon.com/Bosch-26A-Wiper-Blade-Longer/dp/B005JU5W54/ref=sr_1_35?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-35&ts_id=15734861,B005JU5W54,BOSCH,wiper blades,25.93,0-50$,1342,34798,0.246512323136724,26A,26A,0.38125,0-1pound,28.7 x 2.6 x 1.2 inches,51-100sq.inch,,,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 810197 latitude water repellency wiper blade combo pack 26' and 20',https://www.amazon.com/Rain-X-810197-Latitude-Water-Repellency/dp/B09CZHHYRP/ref=sr_1_36?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-36&ts_id=15734861,B09CZHHYRP,Rain-X,wiper blades,31.99,0-50$,680,21753,0.15410030936241,"Rain-X 810197 Latitude Water Repellancy Wiper Blade Combo Pack 26"" and 20""",,1.5,1.1-2pound,30.5 x 6.38 x 1.25 inches,2011-500sq.inch,"Korea, Republic of",,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch rear wiper blade h281 /3397011428 original equipment replacement- 11' (pack of 1),https://www.amazon.com/Bosch-H281-3397011428-Equipment-Replacement/dp/B00ES5Q63S/ref=sr_1_37?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-37&ts_id=15734861,B00ES5Q63S,BOSCH,wiper blades,12.09,0-50$,1797,21726,0.153909038808795,H281,3397011428,0.088125,0-1pound,0.31 x 0.79 x 5.39 inches,1-50sq.inch,China,,11',10-15inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch icon 22oe wiper blade up to 40% longer life - 22' (pack of 1),https://www.amazon.com/Bosch-22OE-Wiper-Blade-Longer/dp/B000BYGE3M/ref=sr_1_38?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-38&ts_id=15734861,B000BYGE3M,BOSCH,wiper blades,21.5,0-50$,477,10256,0.072654473995351,22OE,22OE,0.4,0-1pound,25.1 x 2.7 x 1.2 inches,51-100sq.inch,,,22',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico platinum 24 inch & 17 inch pack of 2 high performance automotive replacement windshield wiper blades for my car (25-2417),https://www.amazon.com/TRICO-Black-Performance-Premium-Blades/dp/B0843CWMYR/ref=sr_1_41?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-41&ts_id=15734861,B0843CWMYR,Trico,wiper blades,28.7,0-50$,83,2382,0.016874313285582,TRICO Platinum,,0.95,0-1pound,24.5 x 6 x 1.25 inches,101-200sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch 28aoe bosch icon wiper blade,https://www.amazon.com/Bosch-Automotive-28AOE-Beam/dp/B00Q3SHX2Q/ref=sr_1_42?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-42&ts_id=15734861,B00Q3SHX2Q,BOSCH,wiper blades,25.05,0-50$,139,3482,0.024666817321745,,,0.6,0-1pound,6.3 x 3 x 34.2 inches,501-1000sq.inch,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico gold 24 & 21 inch pack of 2 automotive replacement windshield wiper blades for my car (18-2421),https://www.amazon.com/TRICO-Gold-Weather-Wiper-Blades/dp/B0843CRXCS/ref=sr_1_43?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-43&ts_id=15734861,B0843CRXCS,Trico,wiper blades,25.14,0-50$,408,10257,0.07266155808993,TRICO Gold,,1.05,1.1-2pound,24.5 x 6 x 1.25 inches,101-200sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windshield wipersaslam type-g 22'+22' wiper blades:all-season blade for original equipment replacement and refills replaceabledouble service life(set of 2),https://www.amazon.com/Windshield-Wipers-ASLAM-Type-G-Blades/dp/B07DRM3W4F/ref=sr_1_44?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-44&ts_id=15734861,B07DRM3W4F,ASLAM,wiper blades,21.99,0-50$,2754,60560,0.429012767663659,,"Bosch ICON Beam, Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",1.1,1.1-2pound,17.35 x 11.6 x 1.25 inches,2011-500sq.inch,China,all-season,22',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oem quality 26' + 18' premium all-season windshield wiper blades for original equipment replacement(set of 2),https://www.amazon.com/All-Season-Windshield-Original-Equipment-Replacement/dp/B08QCWW1Q6/ref=sr_1_45?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-45&ts_id=15734861,B08QCWW1Q6,ZIXMMO,wiper blades,16.99,0-50$,6240,106018,0.751041539005379,,,0.8125,0-1pound,17.64 x 13.82 x 1.26 inches,2011-500sq.inch,,all-season,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
